family_id,assigned_day
0,8
1,41
2,71
3,23
4,53
5,42
6,63
7,3
8,76
9,63
10,29
11,59
12,97
13,49
14,24
15,79
16,29
17,22
18,80
19,49
20,2
21,44
22,85
23,27
24,32
25,80
26,38
27,47
28,26
29,58
30,78
31,85
32,58
33,90
34,54
35,84
36,69
37,91
38,18
39,52
40,44
41,8
42,93
43,89
44,76
45,22
46,40
47,68
48,73
49,94
50,13
51,19
52,59
53,15
54,93
55,71
56,21
57,4
58,6
59,27
60,58
61,8
62,52
63,15
64,36
65,8
66,81
67,86
68,88
69,66
70,46
71,62
72,3
73,64
74,3
75,12
76,23
77,66
78,64
79,70
80,33
81,13
82,37
83,67
84,21
85,49
86,91
87,99
88,64
89,6
90,21
91,98
92,82
93,89
94,32
95,51
96,62
97,57
98,85
99,91
100,7
101,70
102,63
103,59
104,10
105,13
106,18
107,2
108,67
109,95
110,45
111,1
112,91
113,73
114,67
115,91
116,24
117,81
118,60
119,45
120,4
121,74
122,60
123,38
124,66
125,7
126,54
127,41
128,61
129,97
130,84
131,39
132,49
133,56
134,76
135,91
136,25
137,98
138,68
139,86
140,64
141,15
142,1
143,7
144,20
145,65
146,1
147,24
148,71
149,30
150,60
151,3
152,97
153,36
154,32
155,90
156,46
157,97
158,3
159,85
160,18
161,51
162,35
163,21
164,78
165,89
166,45
167,96
168,69
169,33
170,62
171,9
172,85
173,9
174,27
175,38
176,6
177,87
178,80
179,51
180,97
181,41
182,24
183,83
184,58
185,58
186,52
187,41
188,29
189,85
190,59
191,50
192,72
193,50
194,78
195,96
196,5
197,80
198,36
199,22
200,31
201,28
202,17
203,40
204,53
205,52
206,88
207,36
208,77
209,71
210,19
211,72
212,52
213,41
214,86
215,52
216,45
217,38
218,82
219,40
220,26
221,98
222,98
223,89
224,65
225,40
226,93
227,75
228,6
229,100
230,25
231,46
232,16
233,63
234,100
235,22
236,22
237,97
238,30
239,95
240,55
241,88
242,9
243,99
244,22
245,60
246,28
247,99
248,40
249,66
250,52
251,16
252,39
253,59
254,80
255,96
256,96
257,55
258,33
259,24
260,33
261,77
262,20
263,65
264,49
265,16
266,8
267,76
268,83
269,43
270,26
271,48
272,30
273,74
274,11
275,78
276,61
277,1
278,70
279,64
280,9
281,80
282,88
283,31
284,54
285,67
286,86
287,26
288,42
289,97
290,11
291,30
292,32
293,22
294,1
295,84
296,6
297,32
298,8
299,100
300,76
301,32
302,44
303,91
304,37
305,17
306,77
307,63
308,16
309,94
310,33
311,22
312,63
313,19
314,99
315,29
316,23
317,69
318,60
319,43
320,10
321,40
322,29
323,75
324,15
325,47
326,98
327,54
328,88
329,5
330,44
331,15
332,93
333,31
334,59
335,95
336,88
337,33
338,75
339,26
340,78
341,66
342,82
343,33
344,77
345,87
346,66
347,47
348,46
349,99
350,58
351,39
352,62
353,85
354,96
355,24
356,66
357,2
358,10
359,57
360,78
361,1
362,70
363,31
364,16
365,9
366,65
367,77
368,38
369,97
370,77
371,18
372,25
373,86
374,27
375,38
376,31
377,7
378,93
379,58
380,94
381,54
382,12
383,19
384,31
385,16
386,63
387,61
388,24
389,95
390,10
391,22
